product_name,price,product_category_l1,product_category_l2,product_category_l3,processed_timestamp
Galaxy M33 - 8GB+4GB Extended RAM 512GB ROM Garansi Resmi Original Handphone Android hp murah Baterai 5000mAh Layar 6.6 inch Fingerprint baru Ponsel,Rp1.109.000 - Rp1.230.000,Handphone & Aksesoris,Handphone,Handphone Lainnya,2022-08-30 05:37:08
"【COD+HP murah 】Galaxy S22 Ultra 7,5 inci hp baru original 5g android handphone 12GB+512GB Dual Card SIM Garansi resmi Ponsel Pintar",Rp1.158.300,Handphone & Aksesoris,Handphone,Handphone Lainnya,2022-08-30 05:37:08
[Baru]Galaxy S22 Ultra Handphone 12GB + 512GB Smartphone 5G Ponsel Android 5800mAh Baterai Besar Ponsel,Rp1.113.750,Handphone & Aksesoris,Handphone,Handphone Lainnya,2022-08-30 05:37:08
samsung galaxy S20 FE 8/256 & 8/128 garansi resmi sein,Rp6.169.000,Handphone & Aksesoris,Handphone,Samsung,2022-08-30 05:37:08
Samsung Galaxy Z Fold4 5G 12/256GB - Beige,Rp24.999.000,Handphone & Aksesoris,Handphone,Samsung,2022-08-30 05:37:08
Samsung M31 6/128 GB Garansi Sein Indonesia Second Bekas Seken Ori Ex Pemakaian Good Condition,Rp2.290.000 - Rp2.490.000,Handphone & Aksesoris,Handphone,Samsung,2022-08-30 05:37:08
Samsung a50s a 50s Ram 4/64 gb Fulseet muluzz garansi panjang,Rp2.000.000,Handphone & Aksesoris,Handphone,Samsung,2022-08-30 05:37:08
