product_name,price,product_category_l1,product_category_l2,product_category_l3,processed_timestamp
HUAWEI nova 9 Smartphone [8+256GB] | 50 MP Ultra Vision Camera | 7.77mm Ultra-Thin Design,Rp5.299.000,Handphone & Aksesoris,Handphone,Huawei,2022-08-30 05:56:10
[NEW] HUAWEI MatePad 11 Tablet [6+128GB] | Smart Keyboard + M-Pencil | 120 Hz FullView Display | Super Device,Rp???,Handphone & Aksesoris,Tablet,Huawei,2022-08-30 05:56:10
HUAWEI Band 7 Smartband | 9.99mm Ultra-Thin Design | Automatic SpO2 | Daya Tahan Baterai 2 Minggu | 24/7 Health monitoring,Rp539.000,Handphone & Aksesoris,Perangkat Wearable,Smartwatch & Fitness Tracker,2022-08-30 05:56:10
[NEW] HUAWEI WATCH D SmartWatch | Blood Pressure Measurement | ECG Measurement | 7 Days Long Battery Life,Rp???,Handphone & Aksesoris,Perangkat Wearable,Smartwatch & Fitness Tracker,2022-08-30 05:56:10
【TOP1 TOKO】[Baru 2022] hp P50 Pro 16GB+512GB Smartphone  Layar warna primer 7.6 inci hiburan belajar game ponsel pintar,Rp1.190.000 - Rp1.280.000,Handphone & Aksesoris,Handphone,Handphone Lainnya,2022-08-30 05:56:10
Modem huawei HG masih Segel. original dan belum pernah diservis,Rp130.000,Komputer & Aksesoris,Komponen Network,Modem,2022-08-30 05:56:10
